"tagrecID","obs_foID","opeID","vesselCode","Subarea","Lat_recapture","Lon_recapture","Dat_recapture","tagFate","tagrec1Type","tagrec1Colour","tagrec1Number","tagrec1Wording","tagrec2Type","tagrec2Colour","tagrec2Number","tagrec2Wording","Len_recapture","Weight_recapture","Sex_recapture","src","datasetID","Season","MU","tag_code_1","tag_code_2"
261,"O10565","H43604",10668,"3b",-44.6886,45.8106,2020-02-24 09:30:00,"Recaptured","T-Bar tags","BLUE","17537","MNHN (TAAF) PARIS FRANCE",NA,NA,NA,NA,58,NA,"F","OBS",165,2020,"DC","T-Bar tags+BLUE+17537+MNHN (TAAF) PARIS FRANCE","NA+NA+NA+NA"
262,"O10575","H43614",10668,"3b",-44.5885,44.4171,2020-02-28 01:45:00,"Recaptured","T-Bar tags","YELOW","82753","MNHN (TAAF) PARIS FRANCE","T-Bar tags","YELOW","82754","MNHN (TAAF) PARIS FRANCE",85,NA,"F","OBS",165,2020,"DC","T-Bar tags+YELOW+82753+MNHN (TAAF) PARIS FRANCE","T-Bar tags+YELOW+82754+MNHN (TAAF) PARIS FRANCE"
263,"O10634","H43673",10668,"3b",-43.6516,41.1108,2020-03-23 04:25:00,"Recaptured","T-Bar tags","WHITE",NA,"CCAMLR PO BOX 213 N HOBART 7002 AUSTRALIA","T-Bar tags","WHITE",NA,"CCAMLR PO BOX 213 N HOBART 7002 AUSTRALIA",82,NA,"F","OBS",165,2020,"SIR","T-Bar tags+WHITE+NA+CCAMLR PO BOX 213 N HOBART 7002 AUSTRALIA","T-Bar tags+WHITE+NA+CCAMLR PO BOX 213 N HOBART 7002 AUSTRALIA"
985,"O11454","H53192",10668,"3b",-44.9133,44.7883,2021-11-19 05:25:00,"Recaptured",NA,"Yellow","130838","MNHN (TAAF) PARIS FRANCE",NA,"Yellow","130839","MNHN (TAAF) PARIS FRANCE",67,2.8,"M","OBS",182,2021,"DC","NA+Yellow+130838+MNHN (TAAF) PARIS FRANCE","NA+Yellow+130839+MNHN (TAAF) PARIS FRANCE"
986,"O11501","H53239",10668,"3b",-44.9917,44.5233,2021-12-01 04:45:00,"Recaptured",NA,"Yellow","46027","MNHN (TAAF) PARIS FRANCE",NA,NA,NA,NA,100,9.2,"M","OBS",182,2022,"DC","NA+Yellow+46027+MNHN (TAAF) PARIS FRANCE","NA+NA+NA+NA"
987,"O11505","H53243",10668,"3b",-44.835,43.815,2021-12-02 02:40:00,"Recaptured",NA,"Pink",NA,"Australia",NA,"Pink","A138440","Australia",70,3,"M","OBS",182,2022,"DC","NA+Pink+NA+Australia","NA+Pink+A138440+Australia"
988,"O11506","H53244",10668,"3b",-44.6817,44.0667,2021-12-02 13:20:00,"Recaptured",NA,"Blue","21784","MNHN (TAAF) PARIS FRANCE",NA,"Blue","21785","MNHN (TAAF) PARIS FRANCE",67,2.8,"M","OBS",182,2022,"DC","NA+Blue+21784+MNHN (TAAF) PARIS FRANCE","NA+Blue+21785+MNHN (TAAF) PARIS FRANCE"
989,"O11530","H53268",10668,"3b",-44.2833,44.53,2021-12-09 01:58:00,"Recaptured",NA,"White",NA,"Australia",NA,"White","A482989","Australia",76,3.7,"M","OBS",182,2022,"DC","NA+White+NA+Australia","NA+White+A482989+Australia"
1911,"O14599","H61805",10668,"3b",-44.975,44.755,2022-11-10 10:05:00,"Recaptured","T-Bar","WHITE","A663120","CCMLAR AUSTRALIA","T-Bar","WHITE","A663121","CCMLAR AUSTRALIA",83,NA,"M","OBS",209,2022,"DC","T-Bar+WHITE+A663120+CCMLAR AUSTRALIA","T-Bar+WHITE+A663121+CCMLAR AUSTRALIA"
1912,"O14621","H61827",10668,"3b",-44.715,44.43,2022-11-17 03:25:00,"Recaptured","T-Bar","WHITE","A663024","CCMLAR AUSTRALIA","T-Bar","WHITE","A663025","CCMLAR AUSTRALIA",76,NA,"F","OBS",209,2022,"DC","T-Bar+WHITE+A663024+CCMLAR AUSTRALIA","T-Bar+WHITE+A663025+CCMLAR AUSTRALIA"
1913,"O14629","H61835",10668,"3b",-44.9033,44.8383,2022-11-19 15:50:00,"Recaptured","T-Bar","WHITE","A605569","CCMLAR AUSTRALIA","T-Bar","WHITE","A605570","CCMLAR AUSTRALIA",64,NA,"M","OBS",209,2022,"DC","T-Bar+WHITE+A605569+CCMLAR AUSTRALIA","T-Bar+WHITE+A605570+CCMLAR AUSTRALIA"
1914,"O14633","H61839",10668,"3b",-44.7716,45.1083,2022-11-21 09:20:00,"Recaptured","T-Bar","WHITE","A605957","CCMLAR AUSTRALIA","T-Bar","WHITE","A605959","CCMLAR AUSTRALIA",75,NA,"M","OBS",209,2022,"DC","T-Bar+WHITE+A605957+CCMLAR AUSTRALIA","T-Bar+WHITE+A605959+CCMLAR AUSTRALIA"
1915,"O14635","H61841",10668,"3b",-43.035,42.5316,2022-11-27 01:25:00,"Recaptured","T-Bar","YELLOW","121360","MNHH (TAAF) PARIS FRANCE","T-Bar","YELLOW","121361","MNHH (TAAF) PARIS FRANCE",104,NA,"M","OBS",209,2022,"SIR","T-Bar+YELLOW+121360+MNHH (TAAF) PARIS FRANCE","T-Bar+YELLOW+121361+MNHH (TAAF) PARIS FRANCE"
1978,"O14707","H61913",10154,"3b",-44.8891666666666,44.5461666666666,2022-02-27 22:29:00,"Recaptured","T-bar","bleu","21760","MNHN (TAAF) Paris France","T-bar","bleu","21761","MNHN (TAAF) Paris France",75.6,NA,"M","OBS",215,2022,"DC","T-bar+bleu+21760+MNHN (TAAF) Paris France","T-bar+bleu+21761+MNHN (TAAF) Paris France"
