"tagFate","Release_TagID","Release_Date","Release_Season","Release_Area","Release_SubAreaCode","Release_Latitude","Release_Longitude","species3ACode","Release_Length","Release_Fate","Recapture_obs_foID","Recapture_tagID","Recapture_Date","Recapture_Latitude","Recapture_Longitude","Recapture_Area","Recapture_Length","Recapture_Weight","Recapture_SexCode","Recapture_MaturityStage","Recapture_GonadWeight","Distance_Traveled","taglink_score","opeID","Recapture_Season","Release_MU","Recapture_MU"
"Recaptured",NA,NA,NA,"CCAMLR","586",NA,NA,"TOP",62.4,"A",10565,261,2020-02-29 12:40:00,-44.6886,45.8106,"SIOFA",58,NA,"F",1,NA,141.229564,5,"H43604",2020,NA,"DC"
"Recaptured",NA,NA,NA,"CCAMLR","5851",NA,NA,"TOP",70.6,"A",10575,262,2020-03-03 07:25:00,-44.5885,44.4171,"SIOFA",85,NA,"F",2,NA,2175.339774,9,"H43614",2020,NA,"DC"
"Recaptured",NA,NA,NA,"CCAMLR","5852",NA,NA,"TOP",90.7,"C",10897,265,2021-02-05 08:10:00,-44.68,45.8733,"SIOFA",95,NA,"M",3,NA,2441.378222,5,"H52935",2021,NA,NA
"Recaptured",NA,NA,NA,"CCAMLR","5851",NA,NA,"TOP",69,"C",11454,985,2021-11-24 08:30:00,-44.9133,44.7883,"SIOFA",67,2800,"M",NA,NA,2248.648837,7,"H53192",2021,NA,"DC"
"Recaptured",NA,NA,NA,"CCAMLR","5851",NA,NA,"TOP",69.5,"A",11501,986,2021-12-06 15:45:00,-44.9917,44.5233,"SIOFA",100,8200,"M",NA,NA,2289.562867,4,"H53239",2022,NA,"DC"
"Recaptured",NA,NA,NA,NA,"Outside",NA,NA,"TOP",64,"A",11505,987,2021-12-07 12:05:00,-44.835,43.815,"SIOFA",70,3000,"M",NA,NA,54.99426648,2,"H53243",2022,NA,"DC"
"Recaptured",NA,NA,NA,NA,"Outside",NA,NA,"TOP",70,"C",11530,989,2021-12-14 09:20:00,-44.2833,44.53,"SIOFA",76,3700,"M",NA,NA,39.26300511,2,"H53268",2022,NA,"DC"
"Recaptured",1952,2022-06-05 11:50:00,2022,"SIOFA","Outside",-44.9483333333333,44.7465,"TOP",82.4,NA,14599,1911,2022-11-13 16:50:00,-44.975,44.755,"SIOFA",83,NA,"M",NA,NA,3.03846692,9,"H61805",2022,"DC","DC"
"Recaptured",1928,2022-02-27 16:32:00,2022,"SIOFA","Outside",-44.8491666666666,44.5728333333333,"TOP",75.1,NA,14621,1912,2022-11-21 14:55:00,-44.715,44.43,"SIOFA",76,NA,"F",NA,NA,18.71068777,9,"H61827",2022,"DC","DC"
"Recaptured",488,2021-12-16 07:50:00,2022,"SIOFA","Outside",-44.9317,44.9417,"TOP",NA,NA,14629,1913,2022-11-23 11:20:00,-44.9033,44.8383,"SIOFA",64,NA,"M",NA,NA,8.753241692,9,"H61835",2022,"DC","DC"
"Recaptured",312,2021-11-22 10:20:00,2021,"SIOFA","Outside",-44.74,45.4883,"TOP",NA,NA,14633,1914,2022-11-23 19:00:00,-44.7716,45.1083,"SIOFA",75,NA,"M",NA,NA,30.2929897,9,"H61839",2022,"DC","DC"
"Recaptured",NA,NA,NA,"CCAMLR","5851",NA,NA,"TOP",94.4,"C",14635,1915,2022-11-28 01:10:00,-43.035,42.5316,"SIOFA",104,NA,"M",NA,NA,2071.589116,9,"H61841",2022,NA,"SIR"
